Portugal,Panagiotis Kone,26,Italie,Bologna
Portugal,Panagiotis Tachtsidis,23,Italie,Torino
Portugal,Dimitris Salpingidis,32,Grece,PAOK
Portugal,Giorgos Samaras,29,Ecosse,Celtic
Portugal,Kostas Mitroglou,26,Angleterre,Fulham
Portugal,Theofanis Gekas,34,Turquie,Konyaspor
Italie,Eiji Kawashima,31,Belgique,Standard Liege
Italie,Sh?ichi Gonda,25,Japon,F.C. Tokyo
Italie,Shusaku Nishikawa,27,Japon,Urawa Red Diamonds
Italie,Atsuto Uchida,26,Allemagne,Schalke 4
Italie,G?toku Sakai,23,Allemagne,VfB Stuttgart
Italie,Hiroki Sakai,24,Allemagne,Hannover 96
Italie,Masahiko Inoha,30,Japon,Jubilo Iwata
Italie,Masato Morishige,27,Japon,F.C. Tokyo
Italie,Maya Yoshida,25,Angleterre,Southampton
Italie,Yasuyuki Konno,31,Japon,Gamba Osaka
Italie,Yuto Nagatomo,27,Italie,Internazionale
Italie,Hiroshi Kiyotake,24,Allemagne,1. FC Nürnberg
Italie,Hotaru Yamaguchi,23,Japon,Cerezo Osaka
Italie,Keisuke Honda,27,Italie,Milan
Italie,Makoto Hasebe (c),30,Allemagne,1. FC Nürnberg
Italie,Shinji Kagawa,25,Angleterre,Manchester United
Italie,Toshihiro Aoyama,28,Japon,Sanfrecce Hiroshima
Italie,Yasuhito End?,34,Japon,Gamba Osaka
Italie,Manabu Sait?,24,Japon,Yokohama F. Marinos
Italie,Shinji Okazaki,28,Allemagne,Mainz 5
Italie,Yoichiro Kakitani,24,Japon,Cerezo Osaka
Italie,Yoshito ?kubo,31,Japon,Kawasaki Frontale
Italie,Yuya Osako,24,Allemagne,1860 München
Angleterre,Ben Foster,31,Angleterre,West Bromwich Albion
Angleterre,Fraser Forster,26,Ecosse,Celtic
Angleterre,Joe Hart,27,Angleterre,Manchester City
Angleterre,Chris Smalling,24,Angleterre,Manchester United
Angleterre,Gary Cahill,28,Angleterre,Chelsea
Angleterre,Glen Johnson,29,Angleterre,Liverpool
Angleterre,Leighton Baines,29,Angleterre,Everton
Angleterre,Luke Shaw,18,Angleterre,Southampton
Angleterre,Phil Jagielka,31,Angleterre,Everton
Angleterre,Phil Jones,22,Angleterre,Manchester United
Angleterre,Adam Lallana,26,Angleterre,Southampton
Angleterre,Alex Oxlade-Chamberlain,20,Angleterre,Arsenal
Angleterre,Frank Lampard,35,Angleterre,Chelsea
Angleterre,Jack Wilshere,22,Angleterre,Arsenal
Angleterre,James Milner,28,Angleterre,Manchester City
Angleterre,Jordan Henderson,23,Angleterre,Liverpool
Angleterre,Raheem Sterling,19,Angleterre,Liverpool
Angleterre,Ross Barkley,20,Angleterre,Everton
Angleterre,Steven Gerrard (c),34,Angleterre,Liverpool
Angleterre,Daniel Sturridge,24,Angleterre,Liverpool
Angleterre,Danny Welbeck,23,Angleterre,Manchester United
Angleterre,Rickie Lambert,32,Angleterre,Southampton
Angleterre,Wayne Rooney,28,Angleterre,Manchester United
Colombie,Daniel Cambronero,28,Costa Rica,Herediano
Colombie,Keylor Navas,27,Espagne,Levante
Colombie,Patrick Pemberton,32,Costa Rica,Alajuelense
Colombie,Cristian Gamboa,24,Norvege,Rosenborg
Colombie,Giancarlo Gonzalez,26,Etats-Unis,Columbus Crew
Colombie,Heiner Mora,29,Costa Rica,Saprissa
Colombie,Johnny Acosta,30,Costa Rica,Alajuelense
Colombie,Junior Diaz,30,Allemagne,Mainz 5
Colombie,Michael Umana,31,Costa Rica,Saprissa
Colombie,Oscar Duarte,25,Belgique,Club Brugge
Colombie,Roy Miller,29,Etats-Unis,New York Red Bulls
Colombie,Waylon Francis,23,Etats-Unis,Columbus Crew
Colombie,Celso Borges,26,Suede,AIK
Colombie,Christian Bolanos,30,Danemark,Copenhagen
Colombie,Diego Calvo,23,Norvege,Vålerenga
Colombie,Esteban Granados,28,Costa Rica,Herediano
Colombie,Jose Miguel Cubero,27,Costa Rica,Herediano
Colombie,Michael Barrantes,30,Norvege,Aalesund
Colombie,Yeltsin Tejeda,22,Costa Rica,Saprissa
Colombie,Bryan Ruiz (c),28,Pays-Bas,PSV
Colombie,Joel Campbell,21,Grece,Olympiacos
Colombie,Marco Urena,24,Russie,Kuban Krasnodar
Colombie,Randall Brenes,30,Costa Rica,Cartagines
Italie,Gianluigi Buffon (c),36,Italie,Juventus
Italie,Mattia Perin,21,Italie,Genoa
Italie,Salvatore Sirigu,27,France,Paris Saint-Germain
Italie,Andrea Barzagli,33,Italie,Juventus
Italie,Gabriel Paletta,28,Italie,Parma
Italie,Giorgio Chiellini,29,Italie,Juventus
Italie,Ignazio Abate,27,Italie,Milan
Italie,Leonardo Bonucci,27,Italie,Juventus
Italie,Matteo Darmian,24,Italie,Torino
Italie,Mattia De Sciglio,21,Italie,Milan
Italie,Alberto Aquilani,29,Italie,Fiorentina
Italie,Andrea Pirlo,35,Italie,Juventus
Italie,Antonio Candreva,27,Italie,Lazio
Italie,Claudio Marchisio,28,Italie,Juventus
Italie,Daniele De Rossi,30,Italie,Roma
Italie,Marco Parolo,29,Italie,Parma
Italie,Marco Verratti,21,France,Paris Saint-Germain
Italie,Thiago Motta,31,France,Paris Saint-Germain
Italie,Alessio Cerci,26,Italie,Torino
Italie,Antonio Cassano,31,Italie,Parma
Italie,Ciro Immobile,24,Italie,Torino
Italie,Lorenzo Insigne,23,Italie,Napoli
Italie,Mario Balotelli,23,Italie,Milan
Uruguay,Fernando Muslera,27,Turquie,Galatasaray
Uruguay,Martin Silva,31,Bresil,Vasco da Gama
Uruguay,Rodrigo Munoz,32,Paraguay,Libertad
